input_txt,target_txt
"what is the main difference between lymph and interstitial fluid [1] Lymph is the fluid that circulates throughout the lymphatic system . [2] The lymph is formed when the interstitial fluid ( the fluid which lies in the interstices of all body tissues ) is collected through lymph capillaries . [3] It is then transported through larger lymphatic vessels to lymph nodes , where it is cleaned by lymphocytes , before emptying ultimately into the right or the left subclavian vein , where it mixes back with the blood . [4] Since the lymph is derived from the interstitial fluid , its composition continually changes as the blood and the surrounding cells continually exchange substances with the interstitial fluid . [5] It is generally similar to blood plasma , which is the fluid component of blood . [6] Lymph returns proteins and excess interstitial fluid to the bloodstream . [7] Lymph may pick up bacteria and bring them to lymph nodes , where they are destroyed . [8] Metastatic cancer cells can also be transported via lymph . [9] Lymph also transports fats from the digestive system ( beginning in the lacteals ) to the blood via chylomicrons . [10] Interstitial fluid forms at the arterial ( coming from the heart ) end of capillaries because of the higher pressure of blood compared to veins , and most of it returns to its venous ends and venules ; the rest ( up to 10 % ) enters the lymph capillaries as lymph . [11] Thus , lymph when formed is a watery clear liquid with the same composition as the interstitial fluid . [12] However , as it flows through the lymph nodes it comes in contact with blood , and tends to accumulate more cells ( particularly , lymphocytes ) and proteins .",[1] Answer [2] Answer (Summary) [3] Auxiliary Information [4] Answer [5] Auxiliary Information [6] Auxiliary Information [7] Auxiliary Information [8] Auxiliary Information [9] Auxiliary Information [10] Answer [11] Answer (Summary) [12] Answer (Summary)
"how did the french help the colonists in the american revolution [1] French involvement in the American Revolutionary War began in 1775 , when France , a rival of the British Empire , secretly shipped supplies to the Continental Army . [2] A Treaty of Alliance in 1778 soon followed , which led to shipments of money and matériel to the United States . [3] Subsequently , the Spanish Empire and the Dutch Republic also began to send assistance , leaving the British Empire with no allies .",[1] Answer (Summary) [2] Answer (Summary) [3] Auxiliary Information
"what's the difference between peanuts and spanish peanuts [1] The small Spanish types are grown in South Africa , and in the southwestern and southeastern US . [2] Prior to 1940 , 90 % of the peanuts grown in Georgia , USA , were Spanish types , but the trend since then has been larger - seeded , higher - yielding , more disease - resistant cultivars . [3] Spanish peanuts have a higher oil content than other types of peanuts . [4] In the United States , the Spanish group is primarily grown in New Mexico , Oklahoma , and Texas .",[1] Answer (Summary) [2] Answer (Summary) [3] Answer (Summary) [4] Auxiliary Information
"how did the war of 1812 affect the mississippi territory [1] The massacre had significant short - and long - range effects . [2] It triggered a major Indian war that involved a substantial build - up of American military force in the area -- which probably prevented the British from occupying an undefended Gulf coast in 1814 . [3] More importantly , relations between Americans and the southern Indians changed drastically . [4] The Creeks , who had been living peacefully and in close contact with the settlers of the Mississippi Territory , lost more than half their land , and within twenty years were forced to move west of the Mississippi River .",[1] Answer - Organizational sentence [2] Answer [3] Answer (Summary) [4] Answer (Summary)
"how is a plaster of paris impression produced [1] First , the plaster is mixed and the pattern is sprayed with a thin film of parting compound to prevent the plaster from sticking to the pattern . [2] The plaster is then poured over the pattern and the unit shaken so that the plaster fills any small features . [3] The plaster sets , usually in about 15 minutes , and the pattern is removed . [4] The mold is then baked , between 120 ° C ( 248 ° F ) and 260 ° C ( 500 ° F ) , to remove any excess water . [5] The dried mold is then assembled , preheated , and the metal poured . [6] Finally , after the metal has solidified , the plaster is broken from the cast part . [7] The used plaster can not be reused .",[1] Answer (Summary) [2] Answer (Summary) [3] Answer (Summary) [4] Answer (Summary) [5] Answer (Summary) [6] Answer (Summary) [7] Auxiliary Information
"what made the united states and the soviet union emerge from the war as superpowers [1] The term was first used to describe nations with greater than great power status as early as 1944 , but only gained its specific meaning with regard to the United States , the United Kingdom and its empire and the Soviet Union after World War II . [2] This was because the United Kingdom , the United States and the Soviet Union had proved themselves to be capable of casting great influence in global politics and military dominance . [3] The term in its current political meaning was coined by Dutch - American geostrategist Nicholas Spykman in a series of lectures in 1943 about the potential shape of a new post-war world order . [4] This formed the foundation for the book The Geography of the Peace , which referred primarily to the unmatched maritime global supremacy of the British Empire and United States as essential for peace and prosperity in the world .",[1] Answer [2] Answer (Summary) [3] Auxiliary Information [4] Auxiliary Information
"how did mail order catalogs help in more rural areas of the country [1] The establishment of the Uniform Penny Post in 1840 , and the extension of the railway network , helped Pryce - Jones to eventually turn his small rural concern into a company with global renown . [2] In 1861 , Pryce - Jones hit upon a unique method of selling his wares . [3] He distributed catalogues of his wares across the country , allowing people to choose the items they wished and order them via post ; he would then dispatch the goods to the customer via the railways . [4] It was an ideal way of meeting the needs of customers in isolated rural locations who were either too busy or unable to get into Newtown to shop directly . [5] This was the world 's first mail order business , an idea which would change the nature of retail in the coming century .",[1] Auxiliary Information [2] Auxiliary Information [3] Auxiliary Information [4] Answer (Summary) [5] Auxiliary Information
"what does eye for an eye tooth for tooth mean [1] `` [2] Only one eye for one eye '' , also known as `` [3] An eye for an eye '' ( also known as `` A tooth for a tooth '' ) , or the law of retaliation , is the principle that a person who has injured another person is to be penalized to a similar degree , and the person inflicting such punishment should be the injured party . [4] In softer interpretations , it means the victim receives the ( estimated ) value of the injury in compensation . [5] The intent behind the principle was to restrict compensation to the value of the loss .",[1] Miscellaneous [2] Answer [3] Answer [4] Answer (Summary) [5] Answer
"why is the ball and stick model not a true representation of the structure of an ionic compound [1] In a ball - and - stick model , the radius of the spheres is usually much smaller than the rod lengths , in order to provide a clearer view of the atoms and bonds throughout the model . [2] As a consequence , the model does not provide a clear insight about the space occupied by the model . [3] In this aspect , ball - and - stick models are distinct from space - filling ( calotte ) models , where the sphere radii are proportional to the Van der Waals atomic radii in the same scale as the atom distances , and therefore show the occupied space but not the bonds .",[1] Answer [2] Answer (Summary) [3] Auxiliary Information
"how does one become a member of phi beta kappa [1] According to Phi Beta Kappa , they have chapters in about 10 % of American higher learning institutions , and about 10 % of these schools ' Arts and Sciences graduates are invited to join the society . [2] Although most students are elected in their senior year , many colleges elect a very limited number of extremely select students in their junior year , generally less than 2 % of the class . [3] Each chapter sets its own academic standards , but all inductees must have studied the liberal arts and sciences , demonstrated `` good moral character '' , and , usually , earned grades placing them in the top tenth of their class . [4] There is a mandatory initiation fee ( between US $50 and US $90 , as of 2005 ) , which is sometimes covered by the inductee 's university .",[1] Auxiliary Information [2] Answer (Summary) [3] Answer (Summary) [4] Answer
"reasons why wikipedia is not a good source [1] Wikipedia is not a reliable source . [2] Wikipedia can be edited by anyone at any time . [3] This means that any information it contains at any particular time could be vandalism . [4] Biographies of living persons are especially vulnerable to this issue . [5] Some edits on Wikipedia that are in error are sometimes fixed , however because Wikipedia can not monitor contributions made by millions of users , there are many errors that remain unnoticed for days , weeks , months , and even years . [6] Therefore , Wikipedia should not be considered a source for ' fact - checking ' .",[1] Auxiliary Information [2] Answer (Summary) [3] Answer [4] Answer - Example [5] Answer (Summary) [6] Auxiliary Information
"what is the quiet period after an ipo [1] The other `` quiet period '' refers to a period of 10 calendar days following an IPO 's first day of public trading . [2] During this time , insiders and any underwriters involved in the IPO are restricted from issuing any earnings forecasts or research reports for the company . [3] When the quiet period is over , generally the underwriters will initiate research coverage on the firm . [4] A three - day waiting period exists for any member that has acted as a manager or co-manager in a secondary offering .",[1] Answer (Summary) [2] Answer [3] Auxiliary Information [4] Auxiliary Information
"how do you determine what the root of the triad is [1] Although the safest way to recognize a chord 's root is , after having reduced the chord to close spacing , to rearrange it as a stack of thirds , there are shortcuts to this : in inverted triads , the root is directly above the interval of a fourth , in inverted sevenths , it is directly above the interval of a second . [2] With chord types , such as chords with added sixths or chords over pedal points , more than one possible chordal analysis may be possible . [3] For example , in a tonal piece of music , the notes C , E , G , A , sounded as a chord , could be analyzed as a C major sixth chord in root position ( a major triad -- C , E , G -- with an added sixth -- [4] A -- above the root ) or as a first inversion A minor seventh chord ( the A minor seventh chord contains the notes A , C , E and G , but in this example , the C note , the third of the A minor chord , is in the bass ) . [5] Deciding which note is the root of this chord could be determined by considering context . [6] If the chord spelled C , E , G , A occurs immediately before a D chord ( spelled D , F ♯ , A , C ) , most theorists and musicians would consider the first chord a minor seventh chord in first inversion , because the progression ii -- [7] V is a standard chord movement .",[1] Answer (Summary) [2] Auxiliary Information [3] Answer - Example [4] Answer - Example [5] Answer (Summary) [6] Answer - Example [7] Answer - Example
"what is the difference between north and south bridge [1] A northbridge or host bridge is one of the two chips in the core logic chipset architecture on a PC motherboard , the other being the southbridge . [2] Unlike the southbridge , northbridge is connected directly to the CPU via the front - side bus ( FSB ) and is thus responsible for tasks that require the highest performance . [3] The northbridge is usually paired with a southbridge , also known as I / O controller hub . [4] In systems where they are included , these two chips manage communications between the CPU and other parts of the motherboard , and constitute the core logic chipset of the PC motherboard .",[1] Answer [2] Answer (Summary) [3] Auxiliary Information [4] Auxiliary Information
"why are alloys used more than pure metals [1] Alloys are used in a wide variety of applications . [2] In some cases , a combination of metals may reduce the overall cost of the material while preserving important properties . [3] In other cases , the combination of metals imparts synergistic properties to the constituent metal elements such as corrosion resistance or mechanical strength . [4] Examples of alloys are steel , solder , brass , pewter , duralumin , bronze and amalgams .",[1] Answer - Organizational sentence [2] Answer (Summary) [3] Answer (Summary) [4] Auxiliary Information
"why do you think the state of himachal pradesh has been given the name himachal [1] Himachal Pradesh ( ( ɦɪmaːtʃəl prəd̪eːʃ ) ( listen ) ; literally `` snow - laden province '' ) is a state of India located in North India . [2] Situated in the Western Himalayas , it is bordered by states of Jammu and Kashmir on the north , Punjab on the west , Haryana on the southwest , Uttarakhand on the southeast , and the Tibet Autonomous Region on the east . [3] At its southernmost point , it also touches the state of Uttar Pradesh . [4] The state 's name was coined from the Sanskrit -- [5] Him means ' snow ' and achal means ' land ' or ' abode ' -- by acharya Diwakar Datt Sharma , one of the state 's eminent Sanskrit scholars .",[1] Answer [2] Auxiliary Information [3] Auxiliary Information [4] Answer (Summary) [5] Answer (Summary)
"how to get an upside down question mark on mac [1] On the macOS platform ( or when using the `` US International '' / us - intl keyboard layout on Windows and Linux ) , `` ¡ '' and `` ¿ '' can be entered by pressing Alt / ⌥ Option + 1 and ⇧ Shift + Alt / ⌥ Option + / respectively . [2] With a compose key , for example ,  +  , they can be entered by pressing the compose key and ! or ? twice . [3] And for AZERTY keyboards , the shortcut is : fn + alt + ! ( number 8 ) .",[1] Answer (Summary) [2] Answer (Summary) [3] Answer (Summary)
"what is fate of ovum after ovulation of menstrual cycle [1] Ovulation is the release of eggs from the ovaries . [2] In humans , this event occurs when the follicles rupture and release the secondary oocyte ovarian cells . [3] After ovulation , during the luteal phase , the egg will be available to be fertilized by sperm . [4] In addition , the uterine lining ( endometrium ) is thickened to be able to receive a fertilized egg . [5] If no conception occurs , the uterine lining as well as blood will be shed during menstruation .",[1] Auxiliary Information [2] Auxiliary Information [3] Answer [4] Auxiliary Information [5] Answer (Summary)
"what is the difference between sheraton and four points [1] In April 1995 , Sheraton Hotels and Resorts introduced a new , up - scale hotel brand Four Points by Sheraton Hotels , to replace the designation of certain hotels as Sheraton Inns . [2] In 1998 , Starwood Hotels & Resorts Worldwide , Inc. acquired ITT Sheraton , outbidding Hilton . [3] In 2000 , Starwood re-launched Four Points by Sheraton , now targeted as a premier upscale five star hotel chain for business and leisure travelers .",[1] Answer (Summary) [2] Auxiliary Information [3] Answer (Summary)
"where does the saying cut your nose off to spite your face come from [1] The phrase is known to have been used in the 12th century . [2] It may be associated with the numerous legends of pious women disfiguring themselves in order to protect their virginity . [3] These cases include Saint Eusebia , Saint Ebba , Saint Oda of Hainault and Saint Margaret of Hungary .",[1] Answer [2] Answer (Summary) [3] Answer - Example
"what is quality zen and the art of motorcycle maintenance [1] In the late 1950s , Pirsig taught rhetoric at Montana State College -- Bozeman and , with the encouragement of an older colleague , decided to explore what exactly was meant by the term quality . [2] He assigned his students the task of defining the word . [3] This , coupled with a Native American Church peyote ceremony he attended with an anthropologist friend , James Verne Dusenberry , led Pirsig into what he called `` a mushroom cloud of thought . '' [4] Pirsig began developing his ideas about quality in his first book , Zen and the Art of Motorcycle Maintenance , and expanded and codified his ideas into the MoQ in Lila . [5] The Metaphysics of Quality ( MoQ ) is a theory of reality introduced in Robert Pirsig 's philosophical novel , Zen and the Art of Motorcycle Maintenance ( 1974 ) and expanded in Lila : An Inquiry into Morals ( 1991 ) . [6] The MoQ incorporates facets of East Asian philosophy , pragmatism , the work of F.S.C. Northrop , and indigenous American philosophy . [7] Pirsig argues that the MoQ is a better lens through which to view reality than the traditional Dvaita / dualistic subjective / objective mindset found in the West and originated in the East . [8] The book talks about the Indian concept of Tat Tvam Asi as opposed to Dvaita .",[1] Auxiliary Information [2] Auxiliary Information [3] Auxiliary Information [4] Answer (Summary) [5] Answer (Summary) [6] Answer (Summary) [7] Answer [8] Auxiliary Information
"how is the sat chemistry subject test scored [1] The test has 85 multiple choice questions , each consisting of five answer choices , that are to be answered in one hour . [2] Students receive 1 point for every correct answer , lose 1⁄4 of a point for each incorrect answer , and receive 0 points for questions left blank . [3] This score is then converted to a scaled score of 200 - 800 . [4] The mean score for the 2009 test administrations was 638 , standard deviation 113 . [5] In 2011 , the mean score was 648 with a standard deviation of 110 .",[1] Answer (Summary) [2] Answer (Summary) [3] Answer (Summary) [4] Auxiliary Information [5] Auxiliary Information
"what is the need of dma in microprocessor applications [1] Without DMA , when the CPU is using programmed input / output , it is typically fully occupied for the entire duration of the read or write operation , and is thus unavailable to perform other work . [2] With DMA , the CPU first initiates the transfer , then it does other operations while the transfer is in progress , and it finally receives an interrupt from the DMA controller when the operation is done . [3] This feature is useful at any time that the CPU can not keep up with the rate of data transfer , or when the CPU needs to perform work while waiting for a relatively slow I / O data transfer . [4] Many hardware systems use DMA , including disk drive controllers , graphics cards , network cards and sound cards . [5] DMA is also used for intra-chip data transfer in multi-core processors . [6] Computers that have DMA channels can transfer data to and from devices with much less CPU overhead than computers without DMA channels . [7] Similarly , a processing element inside a multi-core processor can transfer data to and from its local memory without occupying its processor time , allowing computation and data transfer to proceed in parallel .",[1] Answer [2] Answer [3] Answer (Summary) [4] Auxiliary Information [5] Answer [6] Answer [7] Auxiliary Information
"what brought an end to the populist party [1] The Populist movement never recovered from the failure of 1896 , and national fusion with the Democrats proved disastrous to the party in the South . [2] National alliance with the Democrats sapped the ability of the Populists to fight the Democrats locally in the South . [3] Early on , this was less of an issue in the Western states where Republicans were strong , as the Democratic - Populist alliance was a more natural fit there , but eventually ended the party .",[1] Answer (Summary) [2] Answer [3] Answer
"what do you mean by congestion and overflow [1] Network congestion in data networking and queueing theory is the reduced quality of service that occurs when a network node or link is carrying more data than it can handle . [2] Typical effects include queueing delay , packet loss or the blocking of new connections . [3] A consequence of congestion is that an incremental increase in offered load leads either only to a small increase or even a decrease in network throughput .",[1] Answer (Summary) [2] Auxiliary Information [3] Auxiliary Information
"what makes a computer a general purpose computer [1] A general purpose computer has four main components : the arithmetic logic unit ( ALU ) , the control unit , the memory , and the input and output devices ( collectively termed I / O ) . [2] These parts are interconnected by buses , often made of groups of wires . [3] Inside each of these parts are thousands to trillions of small electrical circuits which can be turned off or on by means of an electronic switch . [4] Each circuit represents a bit ( binary digit ) of information so that when the circuit is on it represents a `` 1 '' , and when off it represents a `` 0 '' ( in positive logic representation ) . [5] The circuits are arranged in logic gates so that one or more of the circuits may control the state of one or more of the other circuits .",[1] Answer (Summary) [2] Auxiliary Information [3] Auxiliary Information [4] Auxiliary Information [5] Auxiliary Information
"why are there half points in football spreads [1] Spreads are frequently , though not always , specified in half - point fractions to eliminate the possibility of a tie , known as a push . [2] In the event of a push , the game is considered no action , and no money is won or lost . [3] However , this is not a desirable outcome for the sports book , as they are forced to refund every bet , and although both the book and its bettors will be even , if the cost of overhead is taken into account , the book has actually lost money by taking bets on the event . [4] Sports books are generally permitted to state `` ties win '' or `` ties lose '' to avoid the necessity of refunding every bet .",[1] Answer (Summary) [2] Answer [3] Auxiliary Information [4] Auxiliary Information
"explain why a peanut is not a nut [1] Peanuts are similar in taste and nutritional profile to tree nuts such as walnuts and almonds , and as a culinary nut are often served in similar ways in Western cuisines . [2] The botanical definition of a `` nut '' is a fruit whose ovary wall becomes very hard at maturity . [3] Using this criterion , the peanut is not a true nut , but rather a legume . [4] However , for culinary purposes and in common English language usage , peanuts are usually referred to as nuts .",[1] Auxiliary Information [2] Answer (Summary) [3] Answer (Summary) [4] Auxiliary Information
"what is the backstory of sofia the first [1] A young girl named Sofia and her mother Miranda lived a peasant life in the kingdom of Enchancia . [2] One day , Sofia 's mother marries King Roland II , which leads to her becoming a princess . [3] As she adjusts to her new role , Sofia works to live amongst the royal family while having different adventures along the way . [4] King Roland presents Sofia with a magical amulet , which , Sofia discovers , gives her the power to talk to animals and summon Disney princesses in the time of need .",[1] Answer (Summary) [2] Answer (Summary) [3] Answer [4] Answer (Summary)
"what is the purpose of the vietnam war [1] The North Vietnamese government and the Viet Cong were fighting to reunify Vietnam . [2] They viewed the conflict as a colonial war and a continuation of the First Indochina War against forces from France and later on the United States . [3] The U.S. government viewed its involvement in the war as a way to prevent a communist takeover of South Vietnam . [4] This was part of the domino theory of a wider containment policy , with the stated aim of stopping the spread of communism .",[1] Answer (Summary) [2] Answer [3] Answer [4] Answer
"how does a cladogram show the relationship among organisms [1] A cladogram ( from Greek clados `` branch '' and gramma `` character '' ) is a diagram used in cladistics to show relations among organisms . [2] A cladogram is not , however , an evolutionary tree because it does not show how ancestors are related to descendants , nor does it show how much they have changed ; many evolutionary trees can be inferred from a single cladogram . [3] A cladogram uses lines that branch off in different directions ending at a clade , a groups of organisms with a last common ancestor . [4] There are many shapes of cladograms but they all have lines that branch off from other lines . [5] The lines can be traced back to where they branch off . [6] These branching off points represent a hypothetical ancestor ( not an actual entity ) which can be inferred to exhibit the traits shared among the terminal taxa above it . [7] This hypothetical ancestor might then provide clues about the order of evolution of various features , adaptation , and other evolutionary narratives about ancestors . [8] Although traditionally such cladograms were generated largely on the basis of morphological characters , DNA and RNA sequencing data and computational phylogenetics are now very commonly used in the generation of cladograms , either on their own or in combination with morphology .",[1] Auxiliary Information [2] Auxiliary Information [3] Answer (Summary) [4] Auxiliary Information [5] Answer [6] Answer [7] Answer [8] Answer
"how did the mandate of heaven affect chinese history [1] The concept of the Mandate of Heaven was first used to support the rule of the kings of the Zhou dynasty ( 1046 -- 256 BCE ) , and legitimize their overthrow of the earlier Shang dynasty ( 1600 -- 1046 BCE ) . [2] It was used throughout the history of China to legitimize the successful overthrow and installation of new emperors , including non-Han ethnic monarchs such as the Qing dynasty . [3] This concept was also used by monarchs in neighboring countries like Korea and Vietnam . [4] A similar situation prevailed since the establishment of Ahom rule in the Kingdom of Assam of India .",[1] Answer [2] Answer (Summary) [3] Auxiliary Information [4] Auxiliary Information
"what happens at the end of berlin syndrome [1] At work , Andi hands out his students ' workbooks , giving Franka hers . [2] Franka opens it , revealing a Polaroid of a bound Clare that she had hidden for Franka to find . [3] She gasps and excuses herself . [4] As Franka leaves the classroom , the Polaroid falls to the floor and is discovered and passed around by the other students . [5] Andi quickly realises that he has been exposed and leaves in a panic , speeding back to his house . [6] Franka has ridden her bike to the apartment and found Clare , but they have not had time to leave when Andi arrives . [7] They hide , and Clare is finally able to trap Andi in the part of the house where he had kept her , locking him in there . [8] Clare is seen later riding in a cab , putting back on a necklace her mother had given her that Andi had stolen as Andi reclines in the formerly locked room . [9] The film ends with Clare crying happily as she lets her face feel the fresh air from the car window , finally free .",[1] Answer (Summary) [2] Answer (Summary) [3] Answer (Summary) [4] Answer (Summary) [5] Answer (Summary) [6] Answer (Summary) [7] Answer (Summary) [8] Answer (Summary) [9] Answer (Summary)
"why were lords granted land in the zhou dynasty [1] K.E. [2] Brashier writes in his book `` Ancestral Memory in Early China '' about the tsung - fa system of patrilineal primogeniture : `` The greater lineage , if it has survived , is the direct succession from father to eldest son and is not defined via the collateral shifts of the lesser lineages . [3] In discussions that demarcate between trunk and collateral lines , the former is called a zong and the latter a zu , whereas the whole lineage is dubbed the shi . [4] ( ... ) On one hand every son who is not the eldest and hence not heir to the lineage territory has the potential of becoming a progenitor and fostering a new trunk lineage ( Ideally he would strike out to cultivate new lineage territory ) . [5] ( ... ) According to the Zou commentary , the son of heaven divided land among his feudal lords , his feudal lords divided land among their dependent families and so forth down the pecking order to the officers who had their dependent kin and the commoners who `` each had his apportioned relations and all had their graded precedence '' ''",[1] Auxiliary Information [2] Auxiliary Information [3] Auxiliary Information [4] Answer [5] Answer (Summary)
"what is meant by one mole of substance [1] The mole is the unit of measurement for amount of substance in the International System of Units ( SI ) . [2] The unit is defined as the amount or sample of a chemical substance that contains as many constitutive particles , e.g. , atoms , molecules , ions , electrons , or photons , as there are atoms in 12 grams of carbon - 12 ( C ) , the isotope of carbon with standard atomic weight 12 by definition . [3] This number is expressed by the Avogadro constant , which has a value of approximately 7023602214085700000 ♠ 6.022 140 857 × 10 mol . [4] The mole is an SI base unit , with the unit symbol mol .",[1] Answer (Summary) [2] Answer (Summary) [3] Answer [4] Answer
"what is the difference between pangea and rodinia [1] Rodinia ( from the Russian родить , rodít , meaning `` to beget , to give birth '' , or родина `` , ródina , meaning `` motherland , birthplace '' ) is a Neoproterozoic supercontinent that was assembled 1.3 -- 0.9 billion years ago and broke up 750 -- 633 million years ago . [2] Valentine & Moores 1970 were probably the first to recognise a Precambrian supercontinent , which they named ' Pangaea I ' . [3] It was renamed ' Rodinia ' by McMenamin & McMenamin 1990 who also were the first to produce a reconstruction and propose a temporal framework for the supercontinent .",[1] Answer (Summary) [2] Answer (Summary) [3] Auxiliary Information
"what is the difference of purple and violet [1] Purple is a color intermediate between blue and red . [2] It is similar to violet , but unlike violet , which is a spectral color with its own wavelength on the visible spectrum of light , purple is a composite color made by combining red and blue . [3] According to surveys in Europe and the U.S. , purple is the color most often associated with royalty , magic , mystery , and piety . [4] When combined with pink , it is associated with eroticism , femininity , and seduction .",[1] Answer [2] Answer (Summary) [3] Auxiliary Information [4] Auxiliary Information
"what is the difference between lakh and lac [1] A lakh ( / læk , lɑːk / ; abbreviated L ; sometimes written Lac or Lacs ) is a unit in the Indian numbering system equal to one hundred thousand ( 100,000 ; scientific notation : 10 ) . [2] In the Indian convention of digit grouping , it is written as 1 , 00,000 . [3] For example , in India 150,000 rupees becomes 1.5 lakh rupees , written as ₹ 1 , 50,000 or INR 1 , 50,000 .",[1] Answer (Summary) [2] Auxiliary Information [3] Auxiliary Information
"how do the british elect a prime minister [1] The office is not established by any statute or constitutional document but exists only by long - established convention , which stipulates that the monarch must appoint as Prime Minister the person most likely to command the confidence of the House of Commons ; this individual is typically the leader of the political party or coalition of parties that holds the largest number of seats in that chamber . [2] The position of Prime Minister was not created ; it evolved slowly and erratically over three hundred years due to numerous acts of Parliament , political developments , and accidents of history . [3] The office is therefore best understood from a historical perspective . [4] The origins of the position are found in constitutional changes that occurred during the Revolutionary Settlement ( 1688 -- 1720 ) and the resulting shift of political power from the Sovereign to Parliament . [5] Although the Sovereign was not stripped of the ancient prerogative powers and legally remained the head of government , politically it gradually became necessary for him or her to govern through a Prime Minister who could command a majority in Parliament .",[1] Answer (Summary) [2] Auxiliary Information [3] Auxiliary Information [4] Auxiliary Information [5] Auxiliary Information
"what factors helped the european economy to expand in the high middle ages [1] Key historical trends of the High Middle Ages include the rapidly increasing population of Europe , which brought about great social and political change from the preceding era , and the Renaissance of the 12th century , including the first developments of rural exodus and urbanization . [2] By 1250 the robust population increase greatly benefited the European economy , reaching levels that would not be seen again in some areas until the 19th century . [3] This trend faltered in the Late Middle Ages due to a series of calamities , notably the Black Death but also including numerous wars and economic stagnation .",[1] Auxiliary Information [2] Answer (Summary) [3] Auxiliary Information
"difference between straight and order bill of lading [1] When the bill of lading is used as a document of title , it is particularly related to the case of buyer . [2] When the buyer is entitled to received goods from the carrier , bill of lading in this case performs as document of title for the goods . [3] There are two types of bill of lading that can perform as document of title . [4] They are straight bill of lading and order bill of lading . [5] Straight bill of lading is a bill of lading issued to a named consignee that is not negotiable . [6] In this case , the bill of lading should be directed only to one specific consignee indicated on the bill of lading . [7] Order bill of lading is the opposite from a straight bill of lading and there is no specific or named consignee . [8] Therefore , an order bill of lading can be negotiated to a third party .",[1] Auxiliary Information [2] Auxiliary Information [3] Auxiliary Information [4] Auxiliary Information [5] Answer (Summary) [6] Answer [7] Answer (Summary) [8] Answer
"what happened to bring the issue of the dust bowl to national attention [1] The crisis was documented by photographers , musicians , and authors , many hired during the Great Depression by the federal government . [2] For instance , the Farm Security Administration hired numerous photographers to document the crisis . [3] Artists such as Dorothea Lange were aided by having salaried work during the Depression . [4] She captured what have become classic images of the dust storms and migrant families . [5] Among her most well - known photographs is Destitute Pea Pickers in California . [6] Mother of Seven Children , which depicted a gaunt - looking woman , Florence Owens Thompson , holding three of her children . [7] This picture expressed the struggles of people caught by the Dust Bowl and raised awareness in other parts of the country of its reach and human cost . [8] Decades later , Thompson disliked the boundless circulation of the photo and resented the fact she did not receive any money from its broadcast . [9] Thompson felt it gave her the perception as a Dust Bowl `` Okie . ''",[1] Answer (Summary) [2] Answer - Example [3] Answer - Example [4] Answer - Example [5] Answer - Example [6] Answer - Example [7] Answer - Example [8] Auxiliary Information [9] Auxiliary Information
"what is the difference between alpha and beta glycosidic linkages [1] One distinguishes between α - and β - glycosidic bonds based on the relative stereochemistry ( R or S ) of the anomeric position and the stereocenter furthest from C1 in the saccharide . [2] An α - glycosidic bond is formed when both carbons have the same stereochemistry , whereas a β - glycosidic bond occurs when the two carbons have different stereochemistry . [3] One complicating issue is that the alpha and beta conformations were originally defined based on the relative orientation of the major constituents in a Haworth projection . [4] In this case , for D - sugars , a beta conformation would see the major constituent at each carbon drawn above the plane of the ring ( nominally the same conformation ) , while alpha would see the anomeric constituent below the ring ( nominally opposite conformations ) . [5] For L - sugars , the definitions would then , necessarily , reverse . [6] This is worth noting as these older definitions still permeate the literature and can lead to confusion .",[1] Answer (Summary) [2] Answer [3] Auxiliary Information [4] Auxiliary Information [5] Auxiliary Information [6] Auxiliary Information
"what is so special about the pulmonary arteries and veins [1] The pulmonary veins are the veins that transfer oxygenated blood from the lungs to the heart . [2] The largest pulmonary veins are the four main pulmonary veins , two from each lung that drain into the left atrium of the heart . [3] The pulmonary veins are part of the pulmonary circulation .",[1] Answer (Summary) [2] Answer [3] Answer
"what is wifi b/g/n [1] 802.11 b and 802.11 g use the 2.4 GHz ISM band , operating in the United States under Part 15 of the U.S. Federal Communications Commission Rules and Regulations . [2] Because of this choice of frequency band , 802.11 b and g equipment may occasionally suffer interference from microwave ovens , cordless telephones , and Bluetooth devices . [3] 802.11 b and 802.11 g control their interference and susceptibility to interference by using direct - sequence spread spectrum ( DSSS ) and orthogonal frequency - division multiplexing ( OFDM ) signaling methods , respectively . [4] 802.11 a uses the 5 GHz U-NII band , which , for much of the world , offers at least 23 non-overlapping channels rather than the 2.4 GHz ISM frequency band offering only three non-overlapping channels , where other adjacent channels overlap -- see list of WLAN channels . [5] Better or worse performance with higher or lower frequencies ( channels ) may be realized , depending on the environment . [6] 802.11 n can use either the 2.4 GHz or the 5 GHz band ; 802.11 ac uses only the 5 GHz band .",[1] Answer (Summary) [2] Auxiliary Information [3] Answer (Summary) [4] Auxiliary Information [5] Auxiliary Information [6] Answer (Summary)
"difference between prisoner's dilemma and tragedy of the commons [1] Many real - life dilemmas involve multiple players . [2] Although metaphorical , Hardin 's tragedy of the commons may be viewed as an example of a multi-player generalization of the PD : Each villager makes a choice for personal gain or restraint . [3] The collective reward for unanimous ( or even frequent ) defection is very low payoffs ( representing the destruction of the `` commons '' ) . [4] A commons dilemma most people can relate to is washing the dishes in a shared house . [5] By not washing dishes an individual can gain by saving his time , but if that behavior is adopted by every resident the collective cost is no clean plates for anyone .",[1] Auxiliary Information [2] Answer (Summary) [3] Answer (Summary) [4] Answer - Example [5] Answer - Example
